time,x_omega,y_omega,z_omega,temp,index,x_angle_1,y_angle_1,z_angle_1,x_angle_2,y_angle_2,z_angle_2
0.002,0.003270813,0.174535023,-0.044421962,27.5,2387,0,0,0,0,0,0
0.004,0.001145271,0.168246494,-0.050262368,27.5,2388,7.06E-06,0.000332403,-0.000106213,6.54163E-06,0.00034907,-8.88439E-05
0.006,-0.004168585,0.159861788,-0.052386151,27.5,2389,3.49E-06,0.000648037,-0.000216673,8.83217E-06,0.000685563,-0.000189369
0.008,-0.003105813,0.139948112,-0.060881287,27.5,2390,2.04E-06,0.000923844,-0.000344123,4.94998E-07,0.001005287,-0.000294141
0.01,-0.003105813,0.120034435,-0.065128855,27.5,2391,5.94E-07,0.001159823,-0.000480069,-5.71663E-06,0.001285183,-0.000415904
0.012,-0.003105813,0.094356274,-0.060881287,27.5,2392,-8.53E-07,0.001344446,-0.000607519,-1.19283E-05,0.001525252,-0.000546161
0.014,-0.001511657,0.071822377,-0.059819395,27.5,2393,8.88E-07,0.001484001,-0.000732846,-1.81399E-05,0.001713964,-0.000667924
0.016,-0.002043042,0.048240392,-0.055040881,27.5,2394,1.57E-06,0.001576392,-0.000848615,-2.11632E-05,0.001857609,-0.000787563
0.018,0.001145271,0.020466054,-0.04866953,27.5,2395,8.62E-06,0.001613234,-0.000951642,-2.52493E-05,0.00195409,-0.000897644
0.02,-0.000980271,-0.00678424,-0.036988718,27.5,2396,1.14E-05,0.001595576,-0.001031307,-2.29587E-05,0.001995022,-0.000994983
0.022,0.001145271,-0.03351049,-0.025838853,27.5,2397,1.85E-05,0.001524465,-0.001088673,-2.49193E-05,0.001981453,-0.001068961
0.024,-0.001511657,-0.063381004,-0.01044142,27.5,2398,2.02E-05,0.001393614,-0.001115244,-2.26287E-05,0.001914432,-0.001120639
0.026,0.002739428,-0.077530196,0.00283223,27.5,2399,3.05E-05,0.001234464,-0.001115267,-2.56521E-05,0.00178767,-0.001141521
0.028,-0.002043042,-0.095871739,0.017698717,27.5,2400,3.12E-05,0.00103863,-0.001085557,-2.01732E-05,0.00163261,-0.001135857
0.03,-0.000980271,-0.107924754,0.03575088,27.5,2401,3.40E-05,0.000818691,-0.001019744,-2.42593E-05,0.001440867,-0.00110046
0.032,-0.001511657,-0.114737328,0.04902453,27.5,2402,3.57E-05,0.000585127,-0.000927383,-2.62198E-05,0.001225017,-0.001028958
0.034,0.003270813,-0.11892968,0.068138585,27.5,2403,4.70E-05,0.000343178,-0.000796793,-2.92431E-05,0.000995542,-0.000930909
0.036,0.002739428,-0.126790342,0.078757504,27.5,2404,5.73E-05,0.000085507,-0.000644966,-2.27015E-05,0.000757683,-0.000794632
0.038,0.002208042,-0.126790342,0.096809667,27.5,2405,6.64E-05,-0.000172164,-0.000457035,-1.72227E-05,0.000504102,-0.000637117
0.04,-0.004168585,-0.124694166,0.103181019,27.5,2406,6.29E-05,-0.000425642,-0.000256361,-1.28066E-05,0.000250522,-0.000443497
0.042,-0.005231356,-0.119453725,0.106366695,27.5,2407,5.72E-05,-0.000668639,-4.93E-05,-2.11437E-05,1.13334E-06,-0.000237135
0.044,-0.002043042,-0.106352622,0.103711965,27.5,2408,5.79E-05,-0.000885434,0.00015242,-3.16065E-05,-0.000237774,-2.44018E-05
0.046,-0.002574428,-0.084866813,0.097340613,27.5,2409,5.75E-05,-0.001059258,0.000341413,-3.56925E-05,-0.000450479,0.000183022
0.048,-0.005231356,-0.061808872,0.092562099,27.5,2410,5.18E-05,-0.001186966,0.00052085,-4.08414E-05,-0.000620213,0.000377703
0.05,-0.004168585,-0.034558578,0.078757504,27.5,2411,4.82E-05,-0.001260173,0.000672677,-5.13041E-05,-0.000743831,0.000562828
0.052,-0.003105813,-0.010976593,0.064952909,27.5,2412,4.68E-05,-0.001286216,0.000796895,-5.96413E-05,-0.000812948,0.000720343
0.054,-0.00469997,0.01365348,0.051679259,27.5,2413,4.21E-05,-0.001262998,0.000894565,-6.58529E-05,-0.000834901,0.000850248
0.056,-0.00469997,0.026230539,0.036812772,27.5,2414,3.75E-05,-0.001214627,0.000962503,-7.52528E-05,-0.000807594,0.000953607
0.058,-0.002043042,0.045620171,0.015043987,27.5,2415,3.82E-05,-0.001127477,0.000986903,-8.46528E-05,-0.000755133,0.001027232
0.06,-0.002574428,0.056101054,-0.004601014,27.5,2416,3.78E-05,-0.001019364,0.000972014,-8.87389E-05,-0.000663893,0.00105732
0.062,-0.005231356,0.065533848,-0.024246015,27.5,2417,3.21E-05,-0.000892386,0.000917834,-9.38877E-05,-0.000551691,0.001048118
0.064,-0.006294127,0.074966642,-0.046545746,27.5,2418,2.43E-05,-0.000746542,0.000819054,-0.00010435,-0.000420623,0.000999626
0.066,-0.006825512,0.081779215,-0.062474125,27.5,2419,1.54E-05,-0.000587074,0.000688418,-0.000116939,-0.00027069,0.000906535
0.068,-0.006825512,0.081779215,-0.080526288,27.5,2420,6.50E-06,-0.000427605,0.000521678,-0.00013059,-0.000107131,0.000781587
0.07,-0.005231356,0.083875392,-0.090083316,27.5,2421,8.10E-07,-0.000263944,0.000335824,-0.000144241,5.64273E-05,0.000620534
0.072,-0.008419669,0.083875392,-0.095392775,27.5,2422,-0.000011261,-0.000100283,0.00013935,-0.000154703,0.000224178,0.000440367
0.074,-0.005231356,0.083875392,-0.103887911,27.5,2423,-1.70E-05,6.34E-05,-7.41E-05,-0.000171543,0.000391929,0.000249582
0.076,-0.004168585,0.090163921,-0.111852101,27.5,2424,-2.05E-05,0.000239616,-0.000303506,-0.000182005,0.00055968,4.18061E-05
0.078,-0.000448886,0.092784141,-0.106011695,27.5,2425,-1.67E-05,0.000421095,-0.000521217,-0.000190343,0.000740007,-0.000181898
0.08,0.000613886,0.089115833,-0.108135479,27.5,2426,-1.07E-05,0.000595237,-0.000743176,-0.00019124,0.000925576,-0.000393922
0.082,-0.004168585,0.086495612,-0.101233181,27.5,2427,-1.42E-05,0.000764138,-0.00095133,-0.000190013,0.001103807,-0.000610192
0.084,-0.003637199,0.078110906,-0.087428586,27.5,2428,-1.67E-05,0.00091627,-0.001131875,-0.00019835,0.001276799,-0.000812659
0.086,-0.000980271,0.065009803,-0.075216828,27.5,2429,-1.39E-05,0.0010422,-0.001287996,-0.000205624,0.00143302,-0.000987516
0.088,-0.002043042,0.044048039,-0.059288449,27.5,2430,-1.33E-05,0.001126206,-0.001412261,-0.000207585,0.00156304,-0.00113795
0.09,-0.006294127,0.03147098,-0.04336007,27.5,2431,-2.11E-05,0.001185059,-0.001504669,-0.000211671,0.001651136,-0.001256527
0.092,0.0000825,0.01994201,-0.019998447,27.5,2432,-1.62E-05,0.001220853,-0.001550354,-0.000224259,0.001714078,-0.001343247
0.094,0.000613886,-0.000495711,-0.001415338,27.5,2433,-1.02E-05,0.001215772,-0.001558872,-0.000224094,0.001753962,-0.001383244
0.096,-0.002043042,-0.018837255,0.016636825,27.5,2434,-9.48E-06,0.001174008,-0.001531287,-0.000222866,0.001752971,-0.001386074
0.098,0.002208042,-0.032462402,0.040529394,27.5,2435,-2.94E-07,0.001104993,-0.001455916,-0.000226952,0.001715296,-0.001352801
0.1,0.001145271,-0.050803946,0.056457773,27.5,2436,6.77E-06,0.000999296,-0.001348688,-0.000222536,0.001650371,-0.001271742
0.102,-0.000980271,-0.064953137,0.076102774,27.5,2437,9.57E-06,0.0008653,-0.00120217,-0.000220246,0.001548763,-0.001158826
0.104,-0.000980271,-0.078578284,0.088845478,27.5,2438,1.24E-05,0.000704053,-0.001030167,-0.000222206,0.001418857,-0.001006621
0.106,-0.001511657,-0.085914901,0.103711965,27.5,2439,1.41E-05,0.000528134,-0.000828431,-0.000224167,0.001261701,-0.00082893
0.108,-0.000448886,-0.089059166,0.110083317,27.5,2440,1.80E-05,0.000345926,-0.000613952,-0.00022719,0.001089871,-0.000621506
0.11,0.001676657,-0.087487034,0.122295074,27.5,2441,0.000026123,0.000166862,-0.00037505,-0.000228088,0.000911752,-0.000401339
0.112,0.001145271,-0.088011078,0.126011696,27.5,2442,3.32E-05,-1.33E-05,-0.000128714,-0.000224735,0.000736778,-0.000156749
0.114,0.005927741,-0.085914901,0.131852102,27.5,2443,4.98E-05,-0.00018917,0.000129302,-0.000222444,0.000560756,9.52743E-05
0.116,-0.001511657,-0.089059166,0.130259264,27.5,2444,5.15E-05,-0.000371378,0.000384132,-0.000210589,0.000388926,0.000358979
0.118,0.00486497,-0.083818725,0.131852102,27.5,2445,6.60E-05,-0.000543106,0.000642149,-0.000213612,0.000210808,0.000619497
0.12,0.0000825,-0.091679387,0.123887912,27.5,2446,7.10E-05,-0.000730555,0.000884236,-0.000203882,4.31707E-05,0.000883201
0.122,0.001145271,-0.089059166,0.109552371,27.5,2447,7.80E-05,-0.000912763,0.001097653,-0.000203717,-0.000140188,0.001130977
0.124,-0.003105813,-0.084342769,0.08459791,27.5,2448,7.66E-05,-0.001085538,0.001261161,-0.000201426,-0.000318306,0.001350082
0.126,-0.000980271,-0.076482107,0.061767233,27.5,2449,7.94E-05,-0.001242592,0.001379007,-0.000207638,-0.000486992,0.001519278
