x_angle_1,y_angle_1,z_angle_1
0.0,0.0,0.0
0.0706,3.32403,-1.06213
0.0349,6.48037,-2.16673
0.020399999999999998,9.23844,-3.44123
0.005940000000000001,11.59823,-4.80069
-0.008530000000000001,13.44446,-6.07519
0.00888,14.84001,-7.32846
0.0157,15.76392,-8.48615
0.0862,16.13234,-9.51642
0.11399999999999999,15.95576,-10.31307
0.185,15.24465,-10.88673
0.20199999999999999,13.93614,-11.15244
0.305,12.34464,-11.15267
0.312,10.3863,-10.85557
0.34,8.18691,-10.19744
0.357,5.8512699999999995,-9.27383
0.47,3.4317800000000003,-7.96793
0.573,0.8550700000000001,-6.44966
0.664,-1.7216399999999998,-4.57035
0.629,-4.25642,-2.5636099999999997
0.5720000000000001,-6.686389999999999,-0.493
0.579,-8.85434,1.5242
0.5750000000000001,-10.59258,3.41413
0.518,-11.86966,5.2085
0.482,-12.60173,6.72677
0.46799999999999997,-12.86216,7.96895
0.421,-12.62998,8.94565
0.37499999999999994,-12.14627,9.625029999999999
0.382,-11.27477,9.869029999999999
0.37799999999999995,-10.19364,9.72014
0.321,-8.92386,9.17834
0.24300000000000002,-7.46542,8.19054
0.15400000000000003,-5.8707400000000005,6.88418
0.065,-4.27605,5.21678
0.0081,-2.63944,3.35824
-0.11260999999999999,-1.00283,1.3935
-0.17,0.634,-0.741
-0.20500000000000002,2.39616,-3.03506
-0.16699999999999998,4.21095,-5.21217
-0.107,5.95237,-7.431760000000001
-0.142,7.641380000000001,-9.513300000000001
-0.16699999999999998,9.1627,-11.318750000000001
-0.139,10.422,-12.87996
-0.133,11.26206,-14.12261
-0.21100000000000002,11.85059,-15.04669
-0.162,12.20853,-15.503540000000001
-0.10200000000000001,12.15772,-15.58872
-0.09480000000000001,11.74008,-15.31287
-0.00294,11.049930000000002,-14.55916
0.06770000000000001,9.99296,-13.48688
0.0957,8.653,-12.021700000000001
0.124,7.0405299999999995,-10.30167
0.14100000000000001,5.28134,-8.28431
0.18,3.45926,-6.13952
0.26123,1.66862,-3.7504999999999997
0.332,-0.133,-1.28714
0.498,-1.8917000000000002,1.29302
0.515,-3.71378,3.8413199999999996
0.66,-5.43106,6.4214899999999995
0.7100000000000001,-7.30555,8.842360000000001
0.78,-9.12763,10.97653
0.766,-10.85538,12.61161
0.794,-12.42592,13.79007
0.8220000000000001,-13.86021,14.43759
0.8610000000000001,-14.959109999999999,14.49045
0.899,-15.70166,13.938030000000001
0.927,-16.15074,12.886519999999999
0.9239999999999999,-16.15963,11.25098
0.92,-15.58158,9.190669999999999
0.8949999999999999,-14.39565,6.694999999999999
0.88,-12.601820000000002,3.91261
0.8019999999999999,-10.24202,0.9179999999999999
0.788,-7.31626,-2.10878
0.6880000000000001,-4.05511,-4.976120000000001
0.568,-0.57386,-7.65231
0.49,3.11701,-9.91437
0.40099999999999997,6.786910000000001,-11.87911
0.333,10.226230000000001,-13.34475
0.34,13.45594,-14.396249999999998
0.34700000000000003,16.19304,-15.04424
0.385,18.36418,-15.35242
0.38157,19.895979999999998,-15.31018
0.25,20.736040000000003,-15.034320000000001
0.119,20.83196,-14.58856
0.0301,20.2047,-14.00475
-0.0375,19.11629,-13.2829
-0.04126,17.49334,-12.423
-0.0238,15.314910000000001,-11.46753
0.0362,12.79061,-10.29968
0.0643,9.96237,-8.96193
0.103,6.9245,-7.30561
0.163,3.66654,-5.46877
0.20199999999999999,0.34600000000000003,-3.34523
0.24000000000000002,-3.01708,-1.04116
0.183,-6.296,1.46468
0.201,-9.396749999999999,4.04484
0.261,-12.099229999999999,6.66748
0.321,-14.46631,9.2264
0.46499999999999997,-16.403679999999998,11.50923
0.57853,-17.8799,13.39917
0.6920000000000001,-18.90543,14.85372
0.73,-19.459329999999998,15.84105
0.71578,-19.52062,16.19124
0.797,-19.131230000000002,15.904300000000001
0.71882,-18.25973,14.88465
0.726,-16.9061,13.29158
0.79632,-15.164670000000001,11.135710000000001
0.824,-13.07738,8.58693
0.948,-10.6023,5.772690000000001
0.902,-7.97,2.74607
0.866,-5.12808,-0.1956
0.8729999999999999,-2.16039,-3.11603
0.922,0.902,-5.83471
0.9289999999999999,4.037,-8.23481
0.904,7.06757,-10.28449
0.9430000000000001,9.97237,-11.87756
0.9500000000000001,12.64659,-13.15206
0.988,14.933019999999999,-14.04428
1.01634,16.96791,-14.63916
1.02314,18.56259,-14.873009999999999
0.998,19.622760000000003,-14.87324
0.994,20.106469999999998,-14.71419
0.969,19.89845,-14.33215
0.87,19.00916,-13.83329
0.77,17.54343,-13.16453
0.681,15.50125,-12.378969999999999
0.6245700000000001,12.935030000000001,-11.33855
0.546,9.88668,-10.202570000000001
0.574,6.68112,-8.6843
0.518,3.2869099999999998,-7.04922
0.49200000000000005,-0.09680000000000001,-5.15929
0.42488,-3.40719,-3.0251200000000003
0.495,-6.51842,-0.7849999999999999
0.481,-9.294270000000001,1.58302
0.44522,-11.66135,4.06761
0.463,-13.54632,6.435390000000001
0.437,-14.886280000000001,8.75008
0.423,-15.69172,10.905489999999999
0.515,-15.994069999999999,12.74233
0.607,-15.898150000000001,14.22874
0.6880000000000001,-15.51925,15.216069999999998
